"fips_code","big5_neu_nointerp"
"0","0.87733000000000"
"01001","0.53763000000000"
"01003","0.09940000000000"
"01005","-0.22808000000000"
"01009","0.96879000000000"
"01013","0.40193000000000"
"01015","-0.27758000000000"
"01017","0.17627000000000"
"01019","0.53900000000000"
"01021","0.61159000000000"
"01025","0.25421000000000"
"01027","0.12359000000000"
"01031","0.04966000000000"
"01033","0.20858000000000"
"01039","0.33580000000000"
"01043","0.03337000000000"
"01045","0.54125000000000"
"01047","-0.09296000000000"
"01049","0.59104000000000"
"01051","0.43872000000000"
"01053","0.35491000000000"
"01055","0.02703000000000"
"01059","0.63479000000000"
"01065","-0.13130000000000"
"01067","-0.00659000000000"
"01069","-0.30310000000000"
"01071","0.68826000000000"
"01073","-0.72313000000000"
"01075","0.15738000000000"
"01077","0.07655000000000"
"01079","0.27278000000000"
"01081","-0.48719000000000"
"01083","0.24650000000000"
"01087","0.19807000000000"
"01089","-0.68566000000000"
"01091","0.04345000000000"
"01093","0.57979000000000"
"01095","1.31168000000000"
"01097","-0.22517000000000"
"01099","-0.16242000000000"
"01101","-0.67681000000000"
"01103","0.15989000000000"
"01107","0.20205000000000"
"01109","-0.67146000000000"
"01111","0.32347000000000"
"01113","0.45924000000000"
"01115","0.35807000000000"
"01117","-0.03985000000000"
"01119","-0.07855000000000"
"01121","-0.24446000000000"
"01123","-0.03202000000000"
"01125","-0.44200000000000"
"01127","0.62195000000000"
"01129","0.49476000000000"
"01133","0.33550000000000"
"02020","-0.36715000000000"
"02090","0.62141000000000"
"02110","0.45000000000000"
"02122","-0.07798000000000"
"02150","0.78234000000000"
"02170","0.24337000000000"
"04001","0.71978000000000"
"04003","0.70661000000000"
"04005","-0.17179000000000"
"04007","-0.58486000000000"
"04009","0.37166000000000"
"04012","0.05200000000000"
"04013","-0.58507000000000"
"04015","0.22048000000000"
"04017","1.05835000000000"
"04019","0.31637000000000"
"04021","0.61058000000000"
"04023","0.63900000000000"
"04025","0.36093000000000"
"04027","0.73662000000000"
"05001","-0.35606000000000"
"05003","0.31143000000000"
"05005","0.23458000000000"
"05007","-0.49273000000000"
"05009","-1.02619000000000"
"05015","-0.09694000000000"
"05019","-0.61874000000000"
"05023","-0.40978000000000"
"05027","-0.41442000000000"
"05029","0.35950000000000"
"05031","-0.42376000000000"
"05033","0.40288000000000"
"05035","0.09296000000000"
"05037","-0.03159000000000"
"05041","0.03680000000000"
"05043","-0.10897000000000"
"05045","-0.47818000000000"
"05051","-0.20489000000000"
"05053","0.20626000000000"
"05055","0.72765000000000"
"05057","0.50949000000000"
"05059","0.08105000000000"
"05061","0.17007000000000"
"05063","0.01725000000000"
"05069","-0.25554000000000"
"05071","0.59617000000000"
"05085","-0.03092000000000"
"05091","-0.06799000000000"
"05093","0.39206000000000"
"05103","-0.43407000000000"
"05107","-0.11021000000000"
"05111","0.50594000000000"
"05113","0.06629000000000"
"05115","-0.18202000000000"
