,fips_code,agr,con,ext,neu,ope,agr_interp,con_interp,ext_interp,neu_interp,ope_interp
0,1001,-0.72685,-0.61908,0.04729,0.53763,-0.29099,-0.22567814948960602,-0.03732393419638379,0.187883597116918,0.045376313658760645,-0.3000954496946232
1,1003,0.18771,0.39662,0.29649,0.0994,0.39573,-0.3325165013284728,-0.13954411892135812,0.04612477503760102,0.0548195958111696,-0.07075154936459853
2,1005,-0.24126,-0.21672,0.5065,-0.22808,-0.60496,-0.29147678807284644,-0.06822830473632151,0.24680209852627505,-0.008462895307818945,-0.3459805703629806
3,1007,-0.1336174910233186,0.02602780006906531,0.17501707344413545,0.07584519539004975,-0.24375252010130913,-0.1336174910233186,0.02602780006906531,0.17501707344413545,0.07584519539004975,-0.24375252010130913
4,1009,-0.02345,-0.10987,0.10189,0.96879,-0.28931,0.004864617573731102,0.03844362153094215,0.06811247536804917,0.2219595458365852,-0.06200509797571603
5,1011,-0.2886996217680984,-0.05378040075750864,0.24113917863625292,-0.012939939881038455,-0.297743283390536,-0.2886996217680984,-0.05378040075750864,0.24113917863625292,-0.012939939881038455,-0.297743283390536
6,1013,-0.5105,-0.39438,0.46927,0.40193,-0.70735,-0.2816099604041774,-0.08161882499618137,0.14569405761819834,0.033381300925311025,-0.29320603259256167
7,1015,-0.46236,0.09255,0.47208,-0.27758,0.16136,-0.05687099090472855,0.00861473032836851,0.12858310236228826,0.15378406156819552,-0.012758884559431223
8,1017,-0.31556,-0.16364,0.00861,0.17627,-0.57999,-0.2104992542206634,0.01588362786739852,0.30892783787146527,-0.09024914592262846,-0.1266360394520196
9,1019,0.28718,0.41106,0.14566,0.539,-0.18347,-0.0449489496130343,0.023040032637152156,0.1327054354202113,0.1070051580638056,0.06432487692729501
10,1021,0.04762,-0.50004,0.04097,0.61159,-0.1212,-0.21593164520883196,0.014767222803156411,0.18533207580880576,0.03284010548487287,-0.24901473153375223
11,1023,-0.2481764505710275,-0.0477591560704308,0.2675246176810609,-0.04275382448306265,-0.6755726854850198,-0.2481764505710275,-0.0477591560704308,0.2675246176810609,-0.04275382448306265,-0.6755726854850198
12,1025,-0.14918,-0.52331,-0.08236,0.25421,-0.86318,-0.3222755772813283,-0.08334457484394449,0.16720816380440176,0.04256761588544871,-0.550670039338919
13,1027,-0.16165,0.01699,0.39439,0.12359,-0.37547,-0.16745009472913608,0.007816068564935863,0.19688676059144386,0.03146910930723423,-0.098123704751462
14,1029,-0.09173399443575819,0.022810514808827665,0.18844446360061967,0.051247523384228465,-0.00040446099702421665,-0.09173399443575819,0.022810514808827665,0.18844446360061967,0.051247523384228465,-0.00040446099702421665
15,1031,-0.22961,-0.05848,0.29057,0.04966,-0.29102,-0.2748936654979134,-0.07226040617074947,0.1409091035726008,-0.02853255989832258,-0.21572196166587962
16,1033,-0.12151,-0.12579,0.16929,0.20858,-0.46415,0.1962842331489728,0.16550976450428978,0.13628910939493374,0.1658687043668292,-0.24807689847739262
17,1035,-0.3144001533767867,-0.12942946155508722,0.11748009758949479,0.09966317065177599,-0.32378673829022037,-0.3144001533767867,-0.12942946155508722,0.11748009758949479,0.09966317065177599,-0.32378673829022037
